Year,Revenue,Gross_profit,operating_income,pre_tax_income,income_after_taxes,income_from_continuous_operations,net_income,basic_eps,eps
2023,574785,270046,36852,37557,30437,30425,30425,2.95,2.9
2022,513983,225152,12248,-5936,-2719,-2722,-2722,-0.27,-0.27
2021,469822,197478,24879,38151,33360,33364,33364,3.3,3.24
2020,386064,152757,22899,24178,21315,21331,21331,2.13,2.09
2019,280522,114986,14541,13976,11602,11588,11588,1.17,1.15
2018,232887,93731,12421,11261,10064,10073,10073,1.03,1.01
2017,177866,65932,4106,3806,3037,3033,3033,0.32,0.31
2016,135987,47722,4186,3892,2467,2371,2371,0.25,0.25
2015,107006,35355,2233,1568,618,596,596,0.06,0.06
2014,88988,26236,178,-111,-278,-241,-241,-0.03,-0.03
2013,74452,20271,745,506,345,274,274,0.03,0.03
2012,61093,15122,676,544,116,-39,-39,-0.01,-0.01
2011,48077,10789,862,934,643,631,631,0.07,0.07
2010,34204,7643,1406,1497,1145,1152,1152,0.13,0.13
2009,24509,5531,1129,1161,908,902,902,0.1,0.1
